----------------------------------------------------------------
   Matrix Factorization via Stochastic Gradient Descent (SGD)
----------------------------------------------------------------
Train Data Presentation: 90.00%
Test Data Presentation: 10.00%


Hyperparameter Matrix Factorization:
Latent factors / Dimensi laten: 128
Learning rate                 : 0.005
Regularization parameter      : 0.05
Jumlah epoch / training       : 88


Epoch 1/88, MAE: 3.5003, MSE: 13.3363, RMSE: 3.6519
Epoch 47/88, MAE: 0.5478, MSE: 0.4923, RMSE: 0.7016
Epoch 48/88, MAE: 0.5434, MSE: 0.4842, RMSE: 0.6958
Epoch 49/88, MAE: 0.5390, MSE: 0.4761, RMSE: 0.6900
Epoch 50/88, MAE: 0.5345, MSE: 0.4681, RMSE: 0.6842
Epoch 51/88, MAE: 0.5300, MSE: 0.4601, RMSE: 0.6783
Epoch 52/88, MAE: 0.5255, MSE: 0.4522, RMSE: 0.6724
Epoch 53/88, MAE: 0.5211, MSE: 0.4443, RMSE: 0.6665
Epoch 54/88, MAE: 0.5166, MSE: 0.4365, RMSE: 0.6607
Epoch 55/88, MAE: 0.5121, MSE: 0.4287, RMSE: 0.6548
Epoch 56/88, MAE: 0.5076, MSE: 0.4211, RMSE: 0.6489
Epoch 57/88, MAE: 0.5031, MSE: 0.4135, RMSE: 0.6431
Epoch 58/88, MAE: 0.4986, MSE: 0.4061, RMSE: 0.6372
Epoch 59/88, MAE: 0.4941, MSE: 0.3987, RMSE: 0.6314
Epoch 60/88, MAE: 0.4897, MSE: 0.3914, RMSE: 0.6256
Epoch 61/88, MAE: 0.4853, MSE: 0.3843, RMSE: 0.6199
Epoch 62/88, MAE: 0.4809, MSE: 0.3772, RMSE: 0.6142
Epoch 63/88, MAE: 0.4765, MSE: 0.3703, RMSE: 0.6085
Epoch 64/88, MAE: 0.4722, MSE: 0.3635, RMSE: 0.6029
Epoch 65/88, MAE: 0.4679, MSE: 0.3568, RMSE: 0.5973
Epoch 66/88, MAE: 0.4636, MSE: 0.3502, RMSE: 0.5918
Epoch 67/88, MAE: 0.4594, MSE: 0.3438, RMSE: 0.5864
Epoch 68/88, MAE: 0.4552, MSE: 0.3375, RMSE: 0.5810
Epoch 69/88, MAE: 0.4511, MSE: 0.3313, RMSE: 0.5756
Epoch 70/88, MAE: 0.4470, MSE: 0.3253, RMSE: 0.5703
Epoch 71/88, MAE: 0.4430, MSE: 0.3194, RMSE: 0.5651
Epoch 72/88, MAE: 0.4390, MSE: 0.3136, RMSE: 0.5600
Epoch 73/88, MAE: 0.4350, MSE: 0.3079, RMSE: 0.5549
Epoch 74/88, MAE: 0.4312, MSE: 0.3024, RMSE: 0.5499
Epoch 75/88, MAE: 0.4273, MSE: 0.2970, RMSE: 0.5450
Epoch 76/88, MAE: 0.4235, MSE: 0.2917, RMSE: 0.5401
Epoch 77/88, MAE: 0.4198, MSE: 0.2865, RMSE: 0.5353
Epoch 78/88, MAE: 0.4161, MSE: 0.2815, RMSE: 0.5306
Epoch 79/88, MAE: 0.4125, MSE: 0.2766, RMSE: 0.5259
Epoch 80/88, MAE: 0.4090, MSE: 0.2718, RMSE: 0.5214
Epoch 81/88, MAE: 0.4055, MSE: 0.2672, RMSE: 0.5169
Epoch 82/88, MAE: 0.4020, MSE: 0.2626, RMSE: 0.5125
Epoch 83/88, MAE: 0.3986, MSE: 0.2582, RMSE: 0.5081
Epoch 84/88, MAE: 0.3953, MSE: 0.2539, RMSE: 0.5039
Epoch 85/88, MAE: 0.3920, MSE: 0.2497, RMSE: 0.4997
Epoch 86/88, MAE: 0.3888, MSE: 0.2456, RMSE: 0.4956
Epoch 87/88, MAE: 0.3856, MSE: 0.2416, RMSE: 0.4915
Epoch 88/88, MAE: 0.3825, MSE: 0.2377, RMSE: 0.4876

Evaluasi pada Data Test:
MAE : 0.6618
MSE : 0.7458
RMSE: 0.8636

Total prediksi: 5721190
Total user: 610
Total item: 9379
